2019-01-01	362	0
2019-01-02	818	1
2019-01-03	827	8
2019-01-04	825	9
2019-01-05	900	1
2019-01-06	883	0
2019-01-07	940	0
2019-01-08	931	3
2019-01-09	782	24
2019-01-10	729	2
2019-01-11	779	1
2019-01-12	827	1
2019-01-13	778	0
2019-01-14	775	4
2019-01-15	727	50
2019-01-16	762	7
2019-01-17	746	22
2019-01-18	783	13
2019-01-19	779	33
2019-01-20	824	0
2019-01-21	760	6
2019-01-22	730	8
2019-01-23	720	6
2019-01-24	721	2
2019-01-25	761	5
2019-01-26	768	1
2019-01-27	778	0
2019-01-28	730	70
2019-01-29	691	0
2019-01-30	732	9
2019-01-31	728	2
2019-02-01	739	6
2019-02-02	748	5
2019-02-03	805	0
2019-02-04	703	10
2019-02-05	730	19
2019-02-06	701	11
2019-02-07	716	3
2019-02-08	711	6
2019-02-09	789	0
2019-02-10	762	0
2019-02-11	721	42
2019-02-12	679	4
2019-02-13	706	7
2019-02-14	675	12
2019-02-15	755	9
2019-02-16	742	1
2019-02-17	728	1
2019-02-18	713	7
2019-02-19	638	12
2019-02-20	688	13
2019-02-21	650	1
2019-02-22	696	7
2019-02-23	725	1
2019-02-24	739	16
2019-02-25	768	4
2019-02-26	688	33
2019-02-27	742	7
2019-02-28	746	4
2019-03-01	768	9
2019-03-02	925	0
2019-03-03	891	2
2019-03-04	752	10
2019-03-05	662	2
2019-03-06	643	5
2019-03-07	562	12
